doi;pmid;pmcid;publication_year;publication_month;publication_day;cdw_name;cdw_country;article_type;exclusion_criteria;study_disciplines;cdw_exploitation_mode;cdw_effective_used
10.2215/CJN.10981016;28495862;PMC5460713;2017;6;7;I2b2 HEGP (Pompidou University Hospital);France;study:epidemiology:analytical;NA;nephrology;retrospective;126736
10.1016/j.jpeds.2017.05.024;28600155;NA;2017;6;6;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;pediatrics, neonatology, cardiovascular;retrospective;61520
10.1016/j.ijmedinf.2017.02.006;28495345;NA;2017;6;NA;Georges Pompidou University Hospital Clinical Data Warehouse;NA;methods:cdw-follow-up;NA;"NA";retrospective;NA
NULL;28657897;NA;2017;6;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;endocrinology;retrospective;44526
10.4300/JGME-D-16-00469.1;28638518;PMC5476389;2017;6;NA;Boston Children's Hospital Clinical Data Warehouse;United States;study:practice-evaluation;NA;pediatrics;real time;12200
10.1016/j.sapharm.2016.07.002;27577736;NA;2017;6;NA;no name;United States;study:epidemiology:analytical;NA;endocrinology;retrospective;1e4
10.1089/tmj.2016.0170;27929365;NA;2017;6;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;dermatology;retrospective;7960
10.1016/j.ajog.2017.02.003;28188772;NA;2017;6;NA;Utah Health Science Center Enterprise Data Warehouse (UUHSC);United States;study:epidemiology:analytical;NA;gynecology;retrospective;8603
10.1097/CIN.0000000000000367;28591064;NA;2017;6;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jbi.2017.05.003;28487263;NA;2017;6;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.ajo.2017.03.026;28365240;NA;2017;6;NA;NA;NA;methods:cdw-deployment;NA;ophtalmology;"NA";NA
NULL;28604323;NA;2017;5;24;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:descriptive;NA;infectious diseases;retrospective;74e5
10.1093/jamia/ocx046;28505339;NA;2017;5;12;NA;NA;methods:cdw-conception;NA;biology;retrospective;NA
10.1161/JAHA.116.004880;28487389;NA;2017;5;9;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;cardiovascular, geriatrics;retrospective;76639
10.1186/s12859-017-1646-4;28476106;PMC5420152;2017;5;5;The Geminivirus Data Warehouse;NA;methods:cdw-deployment;NA;virology;"NA";NA
10.1093/jamia/ocw144;28339516;NA;2017;5;1;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1136/archdischild-2016-312010;28087722;NA;2017;5;NA;Pediatrix BabySteps Clinical Data Warehouse;NA;methods:other;NA;"NA";"NA";NA
10.1111/jgs.14900;28422270;NA;2017;4;19;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;geriatrics;retrospective;86892
10.1080/10903127.2017.1308608;28414588;NA;2017;4;17;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:analytical;NA;emergency;retrospective;106059
10.1080/13557858.2017.1315372;28393538;NA;2017;4;10;Carolinas HealthCare System electronic data warehouse;United States;study:epidemiology:analytical;NA;public health, endocrinology;retrospective;12572
10.1093/jamia/ocw123;27616701;NA;2017;4;1;Duke Health System Enterprise Data Warehouse;NA;methods:cdw-conception;NA;endocrinology;retrospective;NA
10.1177/0033354916689610;28135425;PMC5349485;2017;4;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;hepato-gastroenterology;retrospective;5667452
10.1007/s11606-016-3905-x;27815763;PMC5377878;2017;4;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;environment;retrospective;4814631
10.1002/phar.1910;28164355;NA;2017;4;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:practice-evaluation;NA;psychiatry;retrospective;69823
10.1634/theoncologist.2016-0254;28275120;PMC5388380;2017;4;NA;no name;United States;study:epidemiology:analytical;NA;neurology, genetics, oncology;retrospective;295
10.1093/bioinformatics/btx137;28334291;NA;2017;3;9;open data warehouse tranSMART;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.1093/jac/dkw468;27999034;NA;2017;3;1;Centre Hospitalier Universitaire de Sherbrooke (CHUS) Data Warehouse;Canada;study:medico-economy;NA;public health;prospective;40605
10.1007/s40264-016-0487-9;27943160;NA;2017;3;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;dermatology, pharmacology;retrospective;56118
10.1038/jp.2016.206;27831551;NA;2017;3;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;pediatrics, neonatology, neurology;retrospective;9134
10.1515/jtim-2017-0011;28680838;PMC5490961;2017;3;NA;NorthShore University Heath System Data Warehouse;United States;study:epidemiology:analytical;NA;hepato-gastroenterology, geriatrics;retrospective;565
10.1016/j.cgh.2016.08.030;27581064;PMC5316341;2017;3;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:descriptive;NA;hepato-gastroenterology;retrospective;379
10.1016/j.jbi.2017.02.005;28193464;NA;2017;3;NA;integrated Genomics Anesthesia System (iGAS);NA;methods:cdw-deployment;NA;anesthesia;"NA";NA
10.1016/S1470-2045(17)30074-8;28271869;NA;2017;3;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.3803/EnM.2017.32.1.90;28256114;PMC5368128;2017;3;NA;Seoul St. Mary's Hospital implemented a clinical data warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1186/s12911-017-0418-4;28241760;PMC5329909;2017;2;28;Columbia University Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;neurology;retrospective;3015
10.1080/10903127.2016.1204037;27439109;NA;2017;2;NA;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:descriptive;NA;paramedical, geriatrics;retrospective;596579
10.3233/BLC-160068;28149934;PMC5271483;2017;1;27;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;urology, oncology;retrospective;46842
10.2196/resprot.5948;28104580;PMC5290296;2017;1;19;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;neurology;retrospective;12344
10.1177/0961203317703494;28399687;NA;2017;1;1;Columbia University Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;pneumology, infectious diseases, internal medicine;retrospective;7033
10.1002/cncr.30245;27571243;NA;2017;1;1;data warehouse at the Houston Methodist Hospital;NA;methods:cdw-conception;NA;oncology, gynecology;retrospective;NA
10.1001/jamasurg.2016.2808;27603225;NA;2017;1;1;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:evaluative;NA;surgery;prospective;NA
10.1097/PRS.0000000000002838;28027219;PMC5428547;2017;1;NA;no name;United States;study:epidemiology:analytical;NA;gynecology, oncology;retrospective;1197
10.1007/s00384-016-2701-8;27844202;NA;2017;1;NA;Seoul National University Clinical Data Warehouse;South Korea;study:epidemiology:analytical;NA;hepato-gastroenterology, oncology;retrospective;65
10.1212/NXI.0000000000000314;28018945;PMC5173349;2017;1;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:medico-economy;NA;pediatrics, neurology;retrospective;57
10.7205/MILMED-D-16-00103;28051985;NA;2017;1;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;ophtalmology, public health;retrospective;NA
10.1371/journal.pone.0173091;28264046;PMC5338796;2017;NA;NA;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:analytical;NA;infectious diseases;retrospective;4886
10.3389/fonc.2017.00016;28232905;PMC5298960;2017;NA;NA;no name;Germany;study:epidemiology:analytical;NA;radiology, neurology, oncology;retrospective;251
10.1177/1176935117694349;28469389;PMC5392017;2017;NA;NA;NA;NA;methods:cdw-conception;NA;oncology;"NA";NA
NULL;28508788;NA;2017;NA;NA;KALIS-DWH;NA;methods:cdw-deployment;NA;pharmacology;retrospective;NA
10.1371/journal.pone.0177173;28493908;PMC5426641;2017;NA;NA;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:analytical;NA;infectious diseases;retrospective;2178582
NULL;28679923;NA;2017;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;28423807;NA;2017;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;28423774;NA;2017;NA;NA;PEARL data warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.5888/pcd13.160445;28033091;PMC5201151;2016;12;29;sans nom;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1186/s40621-016-0089-0;27747560;PMC5065940;2016;12;NA;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:descriptive;NA;emergency, neurology;retrospective;106059
10.1016/j.clcc.2016.04.005;27301717;PMC5099105;2016;12;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;oncology, hepato-gastroenterology;retrospective;12551
10.1093/ilar/ilw030;28053065;NA;2016;12;NA;none;NA;methods:cdw-conception;NA;pharmacology;"NA";NA
10.1016/j.jbi.2016.10.010;27769890;NA;2016;12;NA;NA;NA;methods:cdw-tools;NA;"NA";real time;NA
10.1016/j.urology.2016.07.040;27590253;PMC5116267;2016;12;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;urology, oncology;retrospective;507
10.1002/acr.23160;27898996;PMC5472491;2016;11;29;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;rheumatology;retrospective;25157
10.1002/acr.23140;27813310;NA;2016;11;3;Veteran Health Administration Corporate Data Warehouse;NA;methods:cdw-conception;NA;orthopedics, infectious diseases;"NA";NA
10.1111/dmcn.13191;27357997;NA;2016;11;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;cardiovascular, genetics;retrospective;121736
10.1093/jamia/ocw006;27026618;PMC5070519;2016;11;NA;Cancer Registry Control Panel (CRCP);United States;study:epidemiology:analytical;NA;oncology, public health;retrospective;3087
10.5414/CP202332;27487366;NA;2016;11;NA;Seoul St. Mary's hospital Data Warehouse;South Korea;study:epidemiology:descriptive;NA;cardiovascular;retrospective;2349
10.1007/s10552-016-0808-4;27639398;NA;2016;11;NA;CRN site's virtual data warehouse;NA;methods:cdw-conception;NA;oncology;retrospective;NA
10.1093/jamia/ocw029;27107442;PMC5070524;2016;11;NA;clinical data warehouse and administrative systems of UNC Health Care;United States;study:epidemiology:evaluative;NA;quality;retrospective;NA
10.1161/CIRCOUTCOMES.116.003041;28051772;PMC5217475;2016;11;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:evaluative;NA;public health;retrospective;NA
10.1097/GOX.0000000000001012;27975004;PMC5142470;2016;11;NA;no name;United States;study:epidemiology:analytical;NA;surgery, reconstructive surgery;retrospective;352
10.1021/acssynbio.5b00295;27110921;NA;2016;10;21;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1007/s12350-016-0689-7;27739037;PMC5391305;2016;10;13;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases, cardiovascular;retrospective;508
10.1136/jim-2016-000118;27342424;NA;2016;10;NA;no name;United States;study:medico-economy;NA;public health;retrospective;600
10.1109/ICHI.2016.13;28503676;PMC5423731;2016;10;NA;Columbia University Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;endocrinology;retrospective;2707
10.1007/s00246-016-1419-2;27278630;NA;2016;10;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;cardiovascular, genetics, pediatrics;retrospective;408
10.1016/j.jbi.2016.08.007;27507090;NA;2016;10;NA;I2b2;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.ijmedinf.2016.07.009;27506144;NA;2016;10;NA;West Virginia Clinical and Translational Science Institute's Integrated Data Repository;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.chest.2016.05.001;27178786;NA;2016;9;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;public health, radiology, oncology;retrospective;208633
10.1093/annonc/mdw250;27443633;NA;2016;9;NA;no name;Netherlands;study:epidemiology:evaluative;NA;oncology;prospective;4345
10.1016/j.respe.2016.02.011;27592033;NA;2016;9;NA;SNIIRAM, I2b2;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1093/jamia/ocv197;26911827;NA;2016;9;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:evaluative;NA;cardiovascular;real time;16971
10.3414/ME15-02-0015;27405886;NA;2016;8;5;no name;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1136/bmjopen-2015-010962;27491665;PMC4985976;2016;8;4;Dutch Transfusion Data warehouse (DTD);NA;methods:cdw-deployment;NA;hematology;"NA";NA
10.1016/j.jhep.2016.04.012;27130843;PMC4955712;2016;8;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;hepato-gastroenterology;retrospective;6669388
10.3109/10903127.2015.1128030;26930187;NA;2016;8;NA;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:descriptive;NA;emergency, obstetrics;retrospective;2098
10.1007/s00392-016-0975-z;26916650;NA;2016;8;NA;no name;Germany;study:epidemiology:descriptive;NA;cardiovascular;retrospective;331
10.1177/0962280213480282;23503303;PMC3752320;2016;8;NA;Total Cancer Care Data Warehouse;NA;methods:other;NA;"NA";"NA";NA
10.1007/s10278-015-9830-4;26518194;PMC4879026;2016;6;NA;DICOM Data Warehouse (DDW);NA;methods:cdw-follow-up;NA;"NA";"NA";NA
10.3122/jabfm.2016.03.150226;27170793;NA;2016;6;NA;CHARN data warehouse;United States;study:epidemiology:analytical;NA;public health, endocrinology;retrospective;114845
10.1002/hep.28340;26561023;NA;2016;6;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;hepato-gastroenterology, infectious diseases;retrospective;21419
10.4158/EP151108.OR;27176142;NA;2016;6;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;oncology, endocrinology;retrospective;19592
10.1213/ANE.0000000000001201;27195633;NA;2016;6;NA;no name;NA;methods:cdw-deployment;NA;surgery;"NA";NA
10.5455/aim.2016.24.186-192;27482133;PMC4949029;2016;6;NA;NA;NA;methods:cdw-conception;NA;endocrinology;"NA";NA
10.1007/s00347-016-0272-2;27222127;NA;2016;6;NA;Smart eye data;NA;methods:cdw-deployment;NA;ophtalmology;"NA";NA
10.1016/j.jmpt.2016.04.005;27288324;NA;2016;6;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;chiropractic;retrospective;NA
10.1038/srep26094;27185194;PMC4869115;2016;5;17;Mount Sinai Data Warehouse;United States;study:epidemiology:analytical;NA;public health;retrospective;7e5
10.1186/s12913-016-1418-2;27143e3;PMC4855849;2016;5;4;Ottawa Hospital Data Warehouse;Canada;study:medico-economy;NA;public health;retrospective;44066
10.1016/j.earlhumdev.2016.03.003;27018746;PMC4862884;2016;5;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;pediatrics, neonatology;retrospective;64896
10.1016/j.cgh.2015.10.023;26538206;NA;2016;5;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;hepato-gastroenterology;retrospective;7004
10.1007/s11606-015-3562-5;26951273;PMC4803676;2016;4;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;public health, neurology;retrospective;2130
10.1097/j.pain.0000000000000462;26683238;NA;2016;4;NA;Mount Sinai Data Warehouse;United States;study:epidemiology:descriptive;NA;infectious diseases, pain management;retrospective;638
10.1016/j.transproceed.2015.12.075;27234755;NA;2016;4;NA;Hyperion data warehouse;Taiwan;study:epidemiology:analytical;NA;nephrology;retrospective;67
10.1093/bioinformatics/btv644;26556384;NA;2016;3;15;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.7196/SAMJ.2016.v106i4.10066;27032853;NA;2016;3;8;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:descriptive;NA;infectious diseases;retrospective;1266
10.1016/j.jpeds.2015.11.046;26703875;PMC4769929;2016;3;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;hepato-gastroenterology, pediatrics;retrospective;3082
10.1177/1357633X15589861;26116856;NA;2016;3;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:evaluative;NA;dermatology;retrospective;186
10.1109/JBHI.2015.2392553;25608318;NA;2016;3;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1007/s10916-015-0418-9;26649437;NA;2016;3;NA;Vanderbilt Perioperative Data Warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1007/s10995-015-1821-z;26694046;NA;2016;2;NA;Longitudinal Study of Early Development Data Warehouse;United States;study:epidemiology:analytical;NA;obstetrics, pediatrics, neurology;retrospective;541816
10.2105/AJPH.2015.302927;26562129;NA;2016;2;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;hepato-gastroenterology, infectious diseases;retrospective;233898
10.4158/EP15640.OR;26492544;NA;2016;2;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;endocrinology;retrospective;4215
10.1002/cam4.583;26714675;PMC4735779;2016;2;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:medico-economy;NA;hematology, oncology, pediatrics;retrospective;505
10.1016/j.jbi.2015.12.005;26707450;NA;2016;2;NA;NA;NA;methods:cdw-conception;NA;neurology, radiology;"NA";NA
10.1111/jdv.12949;25627163;NA;2016;1;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;dermatology, oncology;retrospective;10947
10.3171/2015.3.SPINE141127;26431073;NA;2016;1;NA;no name;NA;methods:cdw-deployment;NA;NA;"NA";NA
10.3402/gha.v9.32089;28156880;NA;2016;1;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.athoracsur.2015.07.042;26410159;NA;2016;1;NA;CHOP data warehouse;United States;study:epidemiology:evaluative;NA;cardiovascular, surgery, public health, quality;real time;1715
10.1089/tmj.2015.0036;26393782;NA;2016;1;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;dermatology;retrospective;309
10.13063/2327-9214.1235;27891527;PMC5108635;2016;NA;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;public health;retrospective;742749
10.2147/OPTH.S107656;27601872;PMC5003100;2016;NA;NA;Smart Eye Database (SMEYEDAT);Germany;study:epidemiology:analytical;NA;ophtalmology;retrospective;34931
10.1371/journal.pone.0157729;27427913;PMC4948775;2016;NA;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;endocrinology;retrospective;33838
NULL;26937542;NA;2016;NA;NA;no name;United Kingdom;study:epidemiology:analytical;NA;nephrology;retrospective;27532
10.1371/journal.pone.0168189;27997559;PMC5172583;2016;NA;NA;Seoul National University Clinical Data Warehouse;South Korea;study:epidemiology:analytical;NA;hepato-gastroenterology, oncology;retrospective;53137
NA;28269963;PMC5333256;2016;NA;NA;Stanford Translational Research Integrated Database Environment (STRIDE);United States;study:epidemiology:analytical;NA;endocrinology;retrospective;6121
10.5210/ojphi.v8i3.7000;28210424;PMC5302460;2016;NA;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1155/2016/6741418;27123451;PMC4830705;2016;NA;NA;Data Warehouse of the Lombardy Region;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.3414/ME15-01-0082;26534843;NA;2016;NA;NA;I2b2;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.13063/2327-9214.1245;28154834;PMC5226381;2016;NA;NA;I2b2, Health Sciences South Carolina Clinical Data Warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;28269866;PMC5333310;2016;NA;NA;i3b3;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.2217/fon.16.9;26880307;NA;2016;NA;NA;no name;Italy;study:epidemiology:analytical;NA;neurology, surgery;retrospective;270
NULL;27885972;PMC5123209;2016;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;27577414;NA;2016;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1371/journal.pone.0159605;27551747;PMC4994945;2016;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.4338/ACI-2015-08-RA-0104;27437043;PMC4941842;2016;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;27071886;NA;2016;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1186/s40064-016-1888-z;27006872;PMC4775722;2016;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1371/journal.pone.0158825;27391588;PMC4938534;2016;NA;NA;Vanderbilt University Medical Center enterprise data warehouse;United States;study:epidemiology:analytical;NA;endocrinology;retrospective;50
NULL;28269833;PMC5333328;2016;NA;NA;virtual data warehouse at NewYork Presbyterian Hospital;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;26792313;NA;2015;12;16;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:evaluative;NA;infectious diseases;retrospective;11964
10.1186/s12911-015-0223-x;26655696;PMC4676189;2015;12;11;I2b2;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.cgh.2015.07.010;26188137;PMC4655141;2015;12;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:evaluative;NA;hepato-gastroenterology;prospective;30840
10.1016/j.earlhumdev.2015.08.003;26386610;PMC4662898;2015;12;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;pediatrics, cardiovascular;retrospective;6349
10.1007/s10877-015-9661-3;25634428;NA;2015;12;NA;NA;NA;methods:cdw-conception;NA;anesthesia;"NA";NA
10.1109/TBME.2015.2450181;26126271;NA;2015;12;NA;Methodist environment for translational enhancement and outcomes research (METEOR);NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1097/NAQ.0000000000000118;26340242;NA;2015;12;NA;VHA's Corporate Data Warehouse (CDW);NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1056/NEJMoa1505532;26559572;NA;2015;11;12;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;cardiovascular;prospective;1211
10.1016/j.compbiomed.2015.08.019;26414378;NA;2015;11;1;imageDWE;NA;methods:cdw-conception;NA;radiology;"NA";NA
NULL;26568903;PMC4642500;2015;11;NA;Hawai'i Health Data Warehouse (HHDW);NA;methods:cdw-follow-up;NA;"NA";"NA";NA
10.1016/j.amjmed.2015.04.034;26071821;NA;2015;11;NA;New York City's Health and Hospitals Corporation data warehouse;United States;study:epidemiology:analytical;NA;cardiovascular;retrospective;10674
10.1007/s12325-015-0258-5;26538232;PMC4662718;2015;11;NA;IMS Patient-Centric Integrated Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases, hepato-gastroenterology;retrospective;1707
10.1016/j.cllc.2014.12.010;25681298;NA;2015;11;NA;Vector Oncology Data Warehouse;United States;study:epidemiology:descriptive;NA;oncology, pneumology;retrospective;609
10.2515/therapie/2015055;26475750;NA;2015;10;16;eHOP;France;study:epidemiology:analytical;NA;reanimation;retrospective;104
10.1148/radiol.2015142530;25961634;PMC4613876;2015;10;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;radiology, pneumology;prospective;89168
NULL;26431136;NA;2015;10;NA;Mount Sinai Data Warehouse;United States;study:epidemiology:descriptive;NA;anesthesia;retrospective;432
10.3109/10903127.2014.995843;25664379;NA;2015;9;NA;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:descriptive;NA;emergency;retrospective;1203803
10.1007/s40264-015-0311-y;26093687;NA;2015;9;NA;I2b2 HEGP (Pompidou University Hospital);France;study:epidemiology:analytical;NA;nephrology;retrospective;76067
10.3109/10903127.2014.995846;25689322;NA;2015;9;NA;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:descriptive;NA;emergency;retrospective;1519
10.1016/j.ijmedinf.2015.05.016;26094821;NA;2015;9;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1016/S1473-3099(15)00147-4;26112077;NA;2015;9;NA;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:descriptive;NA;infectious diseases, pneumology;retrospective;3523371
10.1097/QAI.0000000000000653;25886931;NA;2015;8;15;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;infectious diseases;retrospective;210957
10.1177/1527154415603358;26351216;PMC4679583;2015;8;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1111/cts.12294;26032246;PMC4553136;2015;8;NA;Northwestern Medicine Enterprise Data Warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1016/j.jamcollsurg.2015.04.023;26206645;NA;2015;8;NA;Vanderbilt University Medical Center's Perioperative Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases;retrospective;768
